Reader,EPC,FirstTime,LastTime,BestTime,PeakRSSI (-DB*10),RFPhaseAngle,DopplerFreq (Hz),TagSeenCount,Det,Alg,Err
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201157.06034,201157.06034,700,0,0.00,45,0,,
11,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.94420,201156.94420,650,0,0.00,25,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.88085,201156.67807,578,0,0.00,45,88,QFit,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.88085,201156.67807,578,0,0.00,45,88,QFit,Sel
11,A47F5CD16A9A5604EE6FEA39,201156.63828,201156.94420,201156.92629,635,0,0.00,25,65,QFit,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201157.06034,201156.63195,586,0,0.00,45,58,QFit,
11,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.94420,201156.92629,635,0,0.00,25,65,QFit,Sel
11,B6AE2AA5E6A534A7E7E9D594,201156.91005,201156.91005,201156.91005,650,0,0.00,1,0,Singleton,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201157.04433,201156.82722,671,0,0.00,30,1,QFit,
11,B6AE2AA5E6A534A7E7E9D594,201156.60400,201157.04433,201156.91005,650,0,0.00,1,0,Singleton,Sel
